굴짬뽕,900,115.688,32.869,9.605
삼선짬뽕,900,101.733,39.626,10.77
짬뽕라면,750,92,21.3,26.3
짬뽕,800,66.1,22.3,12.3
짬뽕밥,900,104.9,28.8,12.6
짬뽕 순두부 찌개,100,8,7,6
짬뽕,100,10.1,2.8,1.9
진짬뽕,130,0,0,0
갓짬뽕,120,0,0,0
우리쌀로 만든 짬뽕라면,117,0,0,0
팔도 불짬뽕,139,82,13,19
육즙 가득 짬뽕군만두,100,15,6,11
간짬뽕,120,85.39,11.38,20.59
강릉 교동반점 짬뽕,120,94.32,11.81,20.88
나가사끼 꽃게짬뽕,120,88.2,9.8,15.24
나가사끼 짬뽕,120,100.22,12.53,16.27
나가사끼 홍짬뽕,120,98.93,11.23,17.57
뷰티 칼로리면 볶음짬뽕,120,5.98,0.92,2.1
손수 얼큰짬뽕,100,3.79,0.72,0.58
오징어짬뽕,120,97.55,11.61,17.42
오징어짬뽕 컵,80,42.98,4.78,9.55
오징어짬뽕 큰사발,120,98.92,11.27,21.29
좋은상품 얼큰짬뽕,120,3.51,1.11,0.37
컵 나가사끼 짬뽕,80,41.34,5.89,11.84
큰컵 간짬뽕,80,35.97,5.5,9.73
큰컵 나가사끼짬뽕,120,94.61,12.38,20.59
하바네로 짬뽕,120,95.18,13.82,20.02
해물짬뽕,120,78,10,16
청정원 뷰티칼로리면 볶음짬뽕,120,13.15,1.97,4.6
청정원 상하이식 짬뽕밥,100,62,7,3.9
튀기지 않은 해물짬뽕,386,302,32,8
리얼볶음짬뽕,221.5,83,11,5.1
맛있는 컵밥 진짬뽕밥,187.5,62,7,6
매운짬뽕밥,95,65,6,4.1
쿡탐 오징어짬뽕맛 국물라볶이,190,90,5,18
오징어짬뽕컵,67,46,6,9
오징어짬뽕,124,84,10,15
진짬뽕,130,79,10,16
굴진짬뽕,130,84,10,17
맛짬뽕,130,87,9,21
오뚜기 볶음진짬뽕,125,77,10,17
팔도 짬뽕왕뚜껑,110,70,9,17
오징어짬뽕큰사발,115,79,9,19
큰컵 간짬뽕,105,59,9,16
간짬뽕,140,88,14,17
진짬뽕cup,75,44,6,11
팔도왕짬뽕,139,83,13,18
갓짬뽕,120,78,9,16
큰컵나가사끼짬뽕,105,69,9,15
굴진짬뽕 용기,110,70,8,17
나가사끼짬뽕,115,80,10,13
공화춘 삼선짬뽕컵,116,72,12,18
나가사끼홍짬뽕,115,79,9,14
팔도불짬뽕,139,82,13,19
육즙가득짬뽕군만두,315,48,20,34
화끈짬뽕죽,300,40,10,4.4
갓짬뽕,120,0,0,0
간짬뽕,120,85.39,11.38,20.59
강릉 교동반점 짬뽕,120,94.32,11.81,20.88
나가사끼 꽃게짬뽕,120,88.2,9.8,15.24
나가사끼 짬뽕,120,100.22,12.53,16.27
나가사끼 홍짬뽕,120,98.93,11.23,17.57
컵 나가사끼 짬뽕,80,41.34,5.89,11.84
큰컵 간짬뽕,80,35.97,5.5,9.73
큰컵 나가사끼짬뽕,120,94.61,12.38,20.59
하바네로 짬뽕,120,95.18,13.82,20.02
해물짬뽕,120,78,10,16
큰컵 간짬뽕,105,59,9,16
간짬뽕,140,88,14,17
갓짬뽕,120,78,9,16
큰컵나가사끼짬뽕,105,69,9,15
나가사끼짬뽕,115,80,10,13
나가사끼홍짬뽕,115,79,9,14
튀기지 않은 해물짬뽕,386,302,32,8
불짬뽕 군만두 ,100,25,6,10
수타식볶음짬뽕면,330,67,12,6
짬뽕라면밥,123,79,9,9
본죽 화끈짬뽕죽(330g),330,42,5,8
맛있는 컵밥 진짬뽕밥,217.5,71,8,6
초마짬뽕,125,82,12,18
진경여행라면 짬뽕맛,43.5,30,3,6
해물짬뽕,200,4.2,7.4,2.8
북성동 볶음짬뽕면,350,112.175,11.97,4.41
참치마요네즈+오징어짬뽕,208,54,14,9
볶음짬뽕,420,102,28,16
큰컵 간짬뽕,105,59,9,16
오뚜기 볶음진짬뽕,110,67,9,16
쿡탐 오징어짬뽕맛 국물라볶이,380,180,10,36
불짬뽕크림파스타,230,49,9,27
공룡별미 짬뽕라면밥,110,64,9,9
야전식량 얼큰짬뽕라면밥,105,61,8,8
도시어부 해물짬뽕,100,56,10,19
강릉교동반점직화짬뽕,110,69,10,15
오뚜기 진짬뽕,115,65,9,21
우리쌀로만든짬뽕라면,106,66,14,17
강릉교동반점짬뽕,110,72,9,16
오 프라이스 볶음짬뽕밥,230,75,1,7
짬뽕볶음밥,300,88,9,14
라면애밥 나가사끼짬뽕맛,100,74,9,9
팔도불짬뽕 왕컵,115,63,10,20
송탄 영빈루 짬뽕,120,72,10,16
공화춘삼선짬뽕소컵,65,36,6,15
현대홈쇼핑생활라면백짬뽕,75,44,6,14
삼선 짬뽕죽,500,60,10,12
완면각 짬뽕,105,62,9,14
팔도 짬뽕왕뚜껑,110,71,9,17
큰컵나가사끼짬뽕,105,69,9,15
강릉 교동반점 직화짬뽕소컵,65,39,6,12
요리하다 직화볶음짬뽕,330,65,16,12
진짬뽕CUP,75,44,6,11
우리채소가풍부한짬뽕라면,75,46,7,15
gomgom호로록짬뽕라면,86,59,6,11
큰컵 불타는 고추짬뽕,95,60,8,17
공화춘 삼선짬뽕,110,68,9,22
오즈치킨 진짬뽕죽,450,48,8,7
아침엔본죽화끈짬뽕죽,270,37,6,4
컵나가사끼짬뽕,65,42,6,12
군산불짬뽕컵면,82,40,9,16
본죽화끈짬뽕죽,200,26,3,7
공화춘 아주매운짬뽕,110,70,10,20
쿡탐 짬뽕탕,500,15,7,3
영양밥 순한짬뽕덮밥,180,36.54,11.78,2.54
오징어짬뽕삼각김밥,108,25,9,3.6
제대로 한그릇 짬뽕탕,435,19,4,3.5
오징어짬뽕큰사발,115,79,9,19
오뚜기 크림진짬뽕 용기,105,67,8,19
오징어짬뽕컵,67,46,6,9
굴진짬뽕 용기,110,67,8,17
꽃게랑 불짬뽕,70,43,5,20
